dataset,model,horizon_len,n_windows,mse_mean,mse_std,mae_mean,mae_std,dtw_mean,dtw_std,tdi_mean,tdi_std,mse_mean_pm_std,mae_mean_pm_std,dtw_mean_pm_std,tdi_mean_pm_std
ESNet,Chronos-2,4321,3,1.478944169617656,0.14681041280735518,0.20659716285102472,0.018233119779080688,0.17512355809093397,0.043839284621989834,0.015108176758365156,0.025055731532823658,1.4789 $\pm$ 0.1468,0.2066 $\pm$ 0.0182,0.1751 $\pm$ 0.0438,0.0151 $\pm$ 0.0251
ESNet,DLinear,4321,3,1.4777143068548722,0.14600699150069413,0.2039625828855419,0.01702699087255315,0.1524030292453913,0.014507051387413449,0.0024592552690546198,0.0004389100746015103,1.4777 $\pm$ 0.1460,0.2040 $\pm$ 0.0170,0.1524 $\pm$ 0.0145,0.0025 $\pm$ 0.0004
ESNet,PatchTST,4321,3,1.479374748240285,0.14327282398264302,0.21441670094773876,0.015262480197322667,0.1891109205239985,0.00749256595934232,0.00025242605836060084,0.000267241789504175,1.4794 $\pm$ 0.1433,0.2144 $\pm$ 0.0153,0.1891 $\pm$ 0.0075,0.0003 $\pm$ 0.0003
ESNet,TimeMixer,4321,3,1.4671628507744217,0.15092260830802526,0.23142953045649461,0.005451135724874025,0.2194630706477444,0.006197268790853372,5.108468516784277e-05,3.635807262498487e-05,1.4672 $\pm$ 0.1509,0.2314 $\pm$ 0.0055,0.2195 $\pm$ 0.0062,0.0001 $\pm$ 0.0000
ETTh1,Chronos-2,336,5,0.06207379779509078,0.04922934697527752,0.18456105160571282,0.0774444440137007,0.09082812376949365,0.02600568907094359,0.048761098807645044,0.05806489665432016,0.0621 $\pm$ 0.0492,0.1846 $\pm$ 0.0774,0.0908 $\pm$ 0.0260,0.0488 $\pm$ 0.0581
ETTh1,DLinear,336,5,0.06681764531575553,0.03686962451766204,0.20558039797345745,0.06171635678641504,0.0914182000736622,0.03461777257372933,0.06856677641017443,0.05808077295143525,0.0668 $\pm$ 0.0369,0.2056 $\pm$ 0.0617,0.0914 $\pm$ 0.0346,0.0686 $\pm$ 0.0581
ETTh1,PatchTST,336,5,0.10428427095275457,0.05172711530806108,0.25319136347488025,0.06979697158946652,0.11402739695857081,0.05116874372581437,0.03535151503762046,0.042181326594619956,0.1043 $\pm$ 0.0517,0.2532 $\pm$ 0.0698,0.1140 $\pm$ 0.0512,0.0354 $\pm$ 0.0422
ETTh1,TimeMixer,336,5,0.06899896346797915,0.035658644823722246,0.21041171735825753,0.059109699842202997,0.09443862509194487,0.04191517273572759,0.057738382537556886,0.08042870709417183,0.0690 $\pm$ 0.0357,0.2104 $\pm$ 0.0591,0.0944 $\pm$ 0.0419,0.0577 $\pm$ 0.0804
ETTh1,iTransformer,336,5,0.07433545239527474,0.03260431532982836,0.21837388487881526,0.052465851157070004,0.10475770638379085,0.04469218050392771,0.035108444739219966,0.026029888636728876,0.0743 $\pm$ 0.0326,0.2184 $\pm$ 0.0525,0.1048 $\pm$ 0.0447,0.0351 $\pm$ 0.0260
ETTm1,Chronos-2,336,5,0.02646077796705426,0.013470689456870414,0.12653169417310328,0.043242345230878436,0.07606810110906004,0.044138475632159876,0.03300976185213997,0.05652157603535349,0.0265 $\pm$ 0.0135,0.1265 $\pm$ 0.0432,0.0761 $\pm$ 0.0441,0.0330 $\pm$ 0.0565
ETTm1,DLinear,336,5,0.02143357786368768,0.008500734629627917,0.11717041751277572,0.028777421496637447,0.048330863909681596,0.011398635565320548,0.02209298895398364,0.022916040029418324,0.0214 $\pm$ 0.0085,0.1172 $\pm$ 0.0288,0.0483 $\pm$ 0.0114,0.0221 $\pm$ 0.0229
ETTm1,PatchTST,336,5,0.0288358583111203,0.008567403560690676,0.1375471539612909,0.028489685748522005,0.05818128774951532,0.016508822532096745,0.0365697524583113,0.04823495255380854,0.0288 $\pm$ 0.0086,0.1375 $\pm$ 0.0285,0.0582 $\pm$ 0.0165,0.0366 $\pm$ 0.0482
ETTm1,TimeMixer,336,5,0.025724384071245027,0.020812732420784782,0.12141656658549468,0.053280645442846684,0.05311563425596062,0.03182989061131886,0.048326132025620264,0.06121111967366026,0.0257 $\pm$ 0.0208,0.1214 $\pm$ 0.0533,0.0531 $\pm$ 0.0318,0.0483 $\pm$ 0.0612
ETTm1,iTransformer,336,5,0.026576216921117734,0.01396058808625,0.12843961313346863,0.03312676344035247,0.05900303357806617,0.02373215781387656,0.03069151218732292,0.04052120259969486,0.0266 $\pm$ 0.0140,0.1284 $\pm$ 0.0331,0.0590 $\pm$ 0.0237,0.0307 $\pm$ 0.0405
ETTm2,Chronos-2,336,5,0.0686023535624771,0.047378242780382704,0.19954825009509,0.07050926730196251,0.08985396536622164,0.025925165852189583,0.011672861348780168,0.01567063844786029,0.0686 $\pm$ 0.0474,0.1995 $\pm$ 0.0705,0.0899 $\pm$ 0.0259,0.0117 $\pm$ 0.0157
ETTm2,DLinear,336,5,0.061767571202943725,0.02427001228548582,0.19816854929482716,0.03799610336466186,0.07835069783742102,0.017679149921106807,0.004947603110244263,0.007790474365547194,0.0618 $\pm$ 0.0243,0.1982 $\pm$ 0.0380,0.0784 $\pm$ 0.0177,0.0049 $\pm$ 0.0078
ETTm2,PatchTST,336,5,0.06739202209853026,0.03576696334302522,0.20120087647953316,0.05754895284067502,0.07643528906006233,0.02352085048871017,0.012847619550897466,0.01626114544118591,0.0674 $\pm$ 0.0358,0.2012 $\pm$ 0.0575,0.0764 $\pm$ 0.0235,0.0128 $\pm$ 0.0163
ETTm2,TimeMixer,336,5,0.059671888223128924,0.026796167813485226,0.1974339262152575,0.053102885950377,0.07070260686999492,0.02231669961111774,0.006658173711425461,0.010394841895373784,0.0597 $\pm$ 0.0268,0.1974 $\pm$ 0.0531,0.0707 $\pm$ 0.0223,0.0067 $\pm$ 0.0104
ETTm2,iTransformer,336,5,0.07603919636560921,0.04703747971566434,0.22598453950792105,0.06904804402272319,0.08780297864036823,0.03345733550963264,0.009188287738663264,0.010930310790054588,0.0760 $\pm$ 0.0470,0.2260 $\pm$ 0.0690,0.0878 $\pm$ 0.0335,0.0092 $\pm$ 0.0109
Weather,Chronos-2,336,5,0.0006951231038168095,0.0002596344138306611,0.02150402327835677,0.00605652878118786,0.010280484690879561,0.00433916416650649,0.025461850950628685,0.04278043066670133,0.0007 $\pm$ 0.0003,0.0215 $\pm$ 0.0061,0.0103 $\pm$ 0.0043,0.0255 $\pm$ 0.0428
Weather,DLinear,336,5,0.0010351476917871047,0.0006238230515975968,0.025401434184506088,0.00833316267562303,0.011683758441261963,0.0046854232980343335,0.01835487926193289,0.029500884033716236,0.0010 $\pm$ 0.0006,0.0254 $\pm$ 0.0083,0.0117 $\pm$ 0.0047,0.0184 $\pm$ 0.0295
Weather,PatchTST,336,5,0.0008238865064889387,0.0005691665898451348,0.021753212567534434,0.008979399615002073,0.008128290832699805,0.0028591445086813354,0.022484341211088027,0.026528838223109773,0.0008 $\pm$ 0.0006,0.0218 $\pm$ 0.0090,0.0081 $\pm$ 0.0029,0.0225 $\pm$ 0.0265
Weather,TimeMixer,336,5,0.0006931745439788769,0.00038134531216570187,0.020794433083035968,0.0071932842119393145,0.010278017150631005,0.003956728990176653,0.006516442387150473,0.004198814643901202,0.0007 $\pm$ 0.0004,0.0208 $\pm$ 0.0072,0.0103 $\pm$ 0.0040,0.0065 $\pm$ 0.0042
