dataset,model,horizon_len,mse_scaled,mae_scaled,dtw_scaled,tdi_scaled,protocol,fig_path
ETTh1,Chronos-2,720,0.2330485077446115,0.37344975144498876,258.41380497813225,0.04309421534936999,single_horizon_scaled,results/h720/ETTh1_Chronos-2_h720.png
ETTh1,DLinear,720,0.07426154408904934,0.22596233968130439,107.42422777039782,0.1529696327683616,single_horizon_scaled,results/h720/ETTh1_DLinear_h720.png
ETTh1,PatchTST,720,0.11647411862243512,0.27662568180895647,104.6134929663814,0.1441283759289469,single_horizon_scaled,results/h720/ETTh1_PatchTST_h720.png
ETTh1,TimeMixer,720,0.09780279789888646,0.26083279886415844,110.44346675615942,0.2013246965452848,single_horizon_scaled,results/h720/ETTh1_TimeMixer_h720.png
ETTh1,iTransformer,720,0.0791354021994577,0.22764994625304658,137.7661273527494,0.05659917656868877,single_horizon_scaled,results/h720/ETTh1_iTransformer_h720.png
ETTm1,Chronos-2,720,0.034564127805207165,0.145718173806866,88.60587158799171,0.07896566033820936,single_horizon_scaled,results/h720/ETTm1_Chronos-2_h720.png
ETTm1,DLinear,720,0.027205555875973723,0.13165211971800536,61.333560162262046,0.05478772440562833,single_horizon_scaled,results/h720/ETTm1_DLinear_h720.png
ETTm1,PatchTST,720,0.034402973723711476,0.15346944767523263,89.46510739440221,0.20691148030942333,single_horizon_scaled,results/h720/ETTm1_PatchTST_h720.png
ETTm1,TimeMixer,720,0.030638041611895577,0.14295270139675267,78.32558567814745,0.09393681293722177,single_horizon_scaled,results/h720/ETTm1_TimeMixer_h720.png
ETTm1,iTransformer,720,0.02708599795356381,0.13140537809015798,71.84344084419776,0.0405047123015873,single_horizon_scaled,results/h720/ETTm1_iTransformer_h720.png
ETTm2,Chronos-2,720,0.0532538216253644,0.18338278169717848,69.94349917047657,0.010987903225806452,single_horizon_scaled,results/h720/ETTm2_Chronos-2_h720.png
ETTm2,DLinear,720,0.06015635766375836,0.19555509707569313,84.04555334537363,0.01048503861003861,single_horizon_scaled,results/h720/ETTm2_DLinear_h720.png
ETTm2,PatchTST,720,0.07106389221968253,0.2182019597048069,106.46829913269106,0.07071296296296296,single_horizon_scaled,results/h720/ETTm2_PatchTST_h720.png
ETTm2,TimeMixer,720,0.041802914060423066,0.15935624289728595,61.85738729638907,0.008320525956284153,single_horizon_scaled,results/h720/ETTm2_TimeMixer_h720.png
ETTm2,iTransformer,720,0.06657484914185124,0.20905453936393134,87.75599536829033,0.010696857571857572,single_horizon_scaled,results/h720/ETTm2_iTransformer_h720.png
Weather,Chronos-2,720,0.0007114043915834392,0.022547167754247414,15.13925809221837,0.13797680274295512,single_horizon_scaled,results/h720/Weather_Chronos-2_h720.png
Weather,DLinear,720,0.0015330836421404966,0.03225848362391034,17.82240703081243,0.03703334220093996,single_horizon_scaled,results/h720/Weather_DLinear_h720.png
Weather,PatchTST,720,0.0012224700253943128,0.02894912244066921,12.984693871742046,0.06665326902465167,single_horizon_scaled,results/h720/Weather_PatchTST_h720.png
Weather,TimeMixer,720,0.0009823458965251496,0.02589754125064495,16.38778099072314,0.09278767255526596,single_horizon_scaled,results/h720/Weather_TimeMixer_h720.png
Weather,iTransformer,720,0.0010736879295306708,0.026921130449495713,18.934525294135234,0.06499016452074392,single_horizon_scaled,results/h720/Weather_iTransformer_h720.png
ESNet,Chronos-2,4321,1.4094628610237316,0.1938268636697953,837.5254146847874,0.0003641139558916414,single_horizon_scaled,results/h720/ESNet_Chronos-2_h4321.png
ESNet,DLinear,4321,1.4072007751635962,0.1887217981138742,815.4155524662347,0.043591812829654145,single_horizon_scaled,results/h720/ESNet_DLinear_h4321.png
ESNet,PatchTST,4321,1.4042710855275518,0.1991298301902063,857.1440904689664,0.02159417405071325,single_horizon_scaled,results/h720/ESNet_PatchTST_h4321.png
ESNet,TimeMixer,4321,1.4053837271907437,0.19428377971082297,837.4994111764241,0.014525101697461415,single_horizon_scaled,results/h720/ESNet_TimeMixer_h4321.png
