dataset,horizon_len,metric,model,best_window_count,mean_best_value,n_windows,best_window_fraction
ESNet,4321,dtw_scaled,DLinear,2,0.1492097594188642,3,0.6666666666666666
ESNet,4321,dtw_scaled,Chronos-2,1,0.1373061456704606,3,0.3333333333333333
ESNet,4321,high_frequency_energy_ratio_error,PatchTST,2,4.72904284623629,3,0.6666666666666666
ESNet,4321,high_frequency_energy_ratio_error,TimeMixer,1,4.50799924091154,3,0.3333333333333333
ESNet,4321,mae_scaled,DLinear,3,0.2039625828855419,3,1.0
ESNet,4321,mse_scaled,iTransformer,2,1.3796255732124623,3,0.6666666666666666
ESNet,4321,mse_scaled,TimeMixer,1,1.601680981661559,3,0.3333333333333333
ESNet,4321,tdi_scaled,iTransformer,2,4.384438205062492e-06,3,0.6666666666666666
ESNet,4321,tdi_scaled,PatchTST,1,1.4674245694481162e-05,3,0.3333333333333333
ESNet,4321,total_variation_ratio_error,PatchTST,2,3.4054620680106797,3,0.6666666666666666
ESNet,4321,total_variation_ratio_error,TimeMixer,1,3.1527301268449603,3,0.3333333333333333
ETTh1,720,dtw_scaled,DLinear,1,0.07784548606530557,4,0.25
ETTh1,720,dtw_scaled,PatchTST,1,0.05691198489451418,4,0.25
ETTh1,720,dtw_scaled,TimeMixer,1,0.08259167563241453,4,0.25
ETTh1,720,dtw_scaled,TimesFM,1,0.1309996381646297,4,0.25
ETTh1,720,high_frequency_energy_ratio_error,PatchTST,3,0.4533395094492299,4,0.75
ETTh1,720,high_frequency_energy_ratio_error,DLinear,1,1.2015595691731544,4,0.25
ETTh1,720,mae_scaled,TimesFM,2,0.16538423361877602,4,0.5
ETTh1,720,mae_scaled,DLinear,1,0.22596233968130439,4,0.25
ETTh1,720,mae_scaled,iTransformer,1,0.1890101278583278,4,0.25
ETTh1,720,mse_scaled,TimesFM,2,0.045177817823466526,4,0.5
ETTh1,720,mse_scaled,DLinear,1,0.07426154408904934,4,0.25
ETTh1,720,mse_scaled,iTransformer,1,0.06416540713436279,4,0.25
ETTh1,720,tdi_scaled,iTransformer,2,0.007981845668601176,4,0.5
ETTh1,720,tdi_scaled,DLinear,1,0.005080209357587676,4,0.25
ETTh1,720,tdi_scaled,TimesFM,1,0.0013595184996988859,4,0.25
ETTh1,720,total_variation_ratio_error,DLinear,3,0.15985899058831873,4,0.75
ETTh1,720,total_variation_ratio_error,TimeMixer,1,0.16108568577234048,4,0.25
ETTm1,720,dtw_scaled,Chronos-2,2,0.15805727954119042,6,0.3333333333333333
ETTm1,720,dtw_scaled,DLinear,2,0.06522031024498286,6,0.3333333333333333
ETTm1,720,dtw_scaled,PatchTST,1,0.15408912912296013,6,0.16666666666666666
ETTm1,720,dtw_scaled,iTransformer,1,0.2680523514397804,6,0.16666666666666666
ETTm1,720,high_frequency_energy_ratio_error,DLinear,3,0.6882079572151459,6,0.5
ETTm1,720,high_frequency_energy_ratio_error,iTransformer,3,0.45443819696100424,6,0.5
ETTm1,720,mae_scaled,Chronos-2,3,0.26418339491442394,6,0.5
ETTm1,720,mae_scaled,DLinear,1,0.13165211971800536,6,0.16666666666666666
ETTm1,720,mae_scaled,PatchTST,1,0.1370231631816896,6,0.16666666666666666
ETTm1,720,mae_scaled,iTransformer,1,0.4627722954968512,6,0.16666666666666666
ETTm1,720,mse_scaled,Chronos-2,2,0.1451280664391399,6,0.3333333333333333
ETTm1,720,mse_scaled,DLinear,1,0.027205555875973723,6,0.16666666666666666
ETTm1,720,mse_scaled,PatchTST,1,0.02815639973985827,6,0.16666666666666666
