dataset,model,horizon_len,origin,mse_scaled,mae_scaled,dtw_scaled,tdi_scaled,total_variation_ratio,total_variation_ratio_error,high_frequency_energy_ratio,high_frequency_energy_ratio_error,target_col,input_mode,protocol,fig_path,experiment,main_seq_len
ETTh1,Chronos-2,96,11520,0.02139284906484613,0.11420091520994902,0.0719567379657773,0.037485217894524955,0.31533330938917703,1.1541250428187382,0.4394842845498337,0.8221532973080741,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTh1_Chronos-2_h96_origin11520.png,main,336
ETTh1,TimesFM,96,11520,0.013884322175978339,0.09297610664119323,0.04449452617854783,0.0011524752735690236,0.34633747300387985,1.0603415948984112,0.4686475879407802,0.7579041832892169,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTh1_TimesFM_h96_origin11520.png,main,336
ETTh1,DLinear,96,11520,0.08409566718576987,0.23543590999995756,0.15482726846229253,0.0019973958333333337,1.0298543858100868,0.0294174289576347,0.7268008185460322,0.31910280246898176,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTh1_DLinear_h96_origin11520.png,main,336
ETTh1,PatchTST,96,11520,0.07749096775266051,0.21857244190077907,0.14763333555079516,0.0010738742835097001,0.6763783899749347,0.39100259627166517,0.5700874049093608,0.5619655704217988,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTh1_PatchTST_h96_origin11520.png,main,336
ETTh1,TimeMixer,96,11520,0.07256878738734994,0.22379799322592153,0.1446785439628264,0.00119781494140625,0.6400367186287084,0.4462297157927186,0.641327874633829,0.4442144323538832,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTh1_TimeMixer_h96_origin11520.png,main,336
ETTh1,iTransformer,96,11520,0.03563255635731712,0.15476741361771987,0.0963918743056708,0.021368525480367585,0.4543853540068378,0.7888096215859265,0.3049403155833245,1.1876391753425974,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTh1_iTransformer_h96_origin11520.png,main,336
ETTh1,Chronos-2,96,12096,0.19325262677293253,0.39211892398695153,0.3576633488902679,0.0008837055956196582,0.3596090228172125,1.02273785763115,0.44653862909435,0.8062293446844483,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,TimesFM,96,12096,0.1353912274334086,0.31947625676790875,0.15560611294161888,0.09944976478494623,0.24084296071014555,1.4236101316747782,0.29147952031002844,1.2327854975782648,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,DLinear,96,12096,0.19747642032950652,0.4022337661063308,0.32251939880435687,0.00684537288647343,0.7143735799236248,0.33634921829520265,0.43244255190563646,0.838305766272006,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,PatchTST,96,12096,0.15219762041610116,0.3492678919648779,0.2982558539198886,0.0038298932613168727,0.4931250451683509,0.7069924755070218,0.41159751808995,0.8877092806526427,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,TimeMixer,96,12096,0.22856589903066005,0.4291117754018084,0.36986310770452624,0.0014322916666666666,0.4816196094795899,0.7306006476952285,0.3894361066351048,0.9430554408968642,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,iTransformer,96,12096,0.21693887573715898,0.4222604067927729,0.362681597625725,0.0018276949541284403,0.3812763342423122,0.9642308537958202,0.3708336010761466,0.9920018046407478,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,Chronos-2,96,12672,0.06560530602355485,0.22805096954107285,0.17855764264645785,0.0009142889492753624,0.3418937080778834,1.0732553560713887,0.4671018657638844,0.7612078957170246,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,TimesFM,96,12672,0.08423345941197202,0.265938900411129,0.17585016798090053,0.030814364711934154,0.4256318320364121,0.8541805269384627,0.5746189718426775,0.5540480981014919,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,DLinear,96,12672,0.08865842109848747,0.27065502281193204,0.1611893378638538,0.046729537791867955,0.8064815934397117,0.2150741920431693,0.6896959901688187,0.3715043579399612,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,PatchTST,96,12672,0.11134878322656645,0.3008777499106677,0.19983073809773444,0.026732684576023392,0.5502475139852815,0.5973870583852694,0.6227400870197672,0.47362602698191425,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,TimeMixer,96,12672,0.08675957837777691,0.2671227177248326,0.1641734734909264,0.05534826987547893,0.43064626664971756,0.8424682296691148,0.4348208533699013,0.8328211410548502,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,iTransformer,96,12672,0.07395038346183443,0.2534892840305632,0.21684302048787135,0.001103983498980632,0.36971046499465365,0.9950350796712565,0.33142277668051134,1.104360417510633,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,Chronos-2,96,13152,0.07491613922867997,0.1758936308324337,0.1020645271790655,0.046725089089912276,0.3578389373891406,1.0276722614303355,0.4530251711537537,0.7918075675081527,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,TimesFM,96,13152,0.09091519929507423,0.18528288354476294,0.11356336569440538,0.008375478059581321,0.35492208816087917,1.0358569553879364,0.5632103062323373,0.5741021571321674,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,DLinear,96,13152,0.08366792543840325,0.19095768446337535,0.11774636883740282,0.008437017746913581,0.7641607468758714,0.26897709719070306,0.6845446149464806,0.3790014428848742,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,PatchTST,96,13152,0.07085847347011416,0.17149124890317635,0.10725609195307953,0.0038859049479166665,0.5145784524602666,0.6644072329830183,0.5814335756155489,0.5422585257291889,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,TimeMixer,96,13152,0.06813466019830473,0.17308016241756588,0.10288257304959952,0.0146484375,0.5045382802379618,0.6841115446692057,0.5391042626192595,0.6178462710889207,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,iTransformer,96,13152,0.062100926701753406,0.16670353038714003,0.11974633355274905,0.0029545153601694915,0.37503598068108346,0.9807332824674904,0.4280301334062866,0.8485616573609508,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,Chronos-2,96,13728,0.1820331547724967,0.40126654009024304,0.40126654009024304,0.0,0.12375758825954518,2.0894304793411123,0.18316490494194887,1.697368357408541,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,TimesFM,96,13728,0.22598769120596765,0.44808055212100345,0.44808055212100345,0.0,0.07513835880769446,2.588423947779771,0.06400629691810594,2.748773654882358,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,DLinear,96,13728,0.3087597548214068,0.5324560263488382,0.5324560263488382,0.0,0.9475988441152544,0.053824015947652674,0.6752489272199194,0.3926738602167308,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,PatchTST,96,13728,0.2299930119155766,0.44864636408482433,0.4291122239987587,8.246527777777778e-05,0.47820979233652017,0.7377057257645723,0.42296393260474335,0.8604683456383354,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,TimeMixer,96,13728,0.3045511634979678,0.5215426597805418,0.5215426597805416,0.0,0.5184632137514482,0.656886181983431,0.3500393714764164,1.049709612324363,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,iTransformer,96,13728,0.16400474694290565,0.37200052935310657,0.3569666909094829,0.0010546875,0.42951355305627875,0.8451019593456469,0.3104293694456843,1.1697988448760834,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,Chronos-2,96,14304,0.08233668454333154,0.24202020838856697,0.1545298665109342,0.010277270884022709,0.20032819669770774,1.6077982239697315,0.2745405910238437,1.2926561199578301,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,TimesFM,96,14304,0.054303190426774485,0.19739514340957007,0.10569784723479173,0.01108117816091954,0.24578366533918275,1.4033034984610147,0.3421558252730047,1.0724889870074334,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,DLinear,96,14304,0.04560487363844645,0.1675607919746732,0.07661363599305517,0.012215757332944834,0.6700244688454788,0.40044103167426676,0.5401555392289854,0.615898126775691,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,PatchTST,96,14304,0.08589339397463085,0.24730188780567905,0.12845132534604295,0.01170775267454955,0.4185710438944657,0.8709086211594138,0.37044383411937043,0.9930534135625193,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,TimeMixer,96,14304,0.06788740714322743,0.21784605034165874,0.1263146510789159,0.009531158945221446,0.37932303956688784,0.9693670634363212,0.26835912144311996,1.315429152828982,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTh1,iTransformer,96,14304,0.03510112958609713,0.15103288394471015,0.0539895572653418,0.05504740683685446,0.47752624185784237,0.7391361428598123,0.48502752978869,0.7235496065872874,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,Chronos-2,96,46080,0.005150309791141061,0.06264258859058221,0.026707459364505793,0.02150377690397351,0.18720656639957403,1.6755425852160966,0.18272144254996436,1.6997924029512759,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTm1_Chronos-2_h96_origin46080.png,main,336
ETTm1,TimesFM,96,46080,0.008915255557194043,0.08063558675348759,0.029110138063077575,0.031667282878943756,0.1596485991201963,1.8347800719156928,0.20636933824930082,1.5780877629470034,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTm1_TimesFM_h96_origin46080.png,main,336
ETTm1,DLinear,96,46080,0.0037013223144524783,0.05039369622921949,0.017211813030927357,0.004097099093774626,1.1626043561748742,0.15066263180435926,0.7061293951519662,0.3479567648686981,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTm1_DLinear_h96_origin46080.png,main,336
ETTm1,PatchTST,96,46080,0.008029040144614854,0.06819527412456754,0.03137628751738994,0.009655556804556355,0.4494851998796807,0.799652329105274,0.2927047383453875,1.2285908628487905,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTm1_PatchTST_h96_origin46080.png,main,336
ETTm1,TimeMixer,96,46080,0.0041309345368755876,0.04897983077061981,0.020404062739117726,0.005505751648681055,0.5431044186333042,0.6104536596138692,0.33338435187536886,1.0984592147584118,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTm1_TimeMixer_h96_origin46080.png,main,336
ETTm1,iTransformer,96,46080,0.0048141463118180974,0.06059607243417118,0.021992213164103647,0.01355865036231884,0.3496655749107686,1.0507780529362318,0.22721668286211305,1.4818511227297129,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,results/h96_w6_timesfm_variation_diagnostics/ETTm1_iTransformer_h96_origin46080.png,main,336
ETTm1,Chronos-2,96,48384,0.04253028596114994,0.11186234839260578,0.0816550333370534,0.03339490471576227,0.03324462894904464,3.403861759495171,0.02114315834869228,3.856438435186756,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,TimesFM,96,48384,0.07650628902607089,0.16430966183543205,0.1367184279257791,0.0015781097709551657,0.06624369713860727,2.714414805214377,0.03166098049284057,3.4526699397109843,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,DLinear,96,48384,0.05381667447882116,0.13596852878639246,0.07169237810865406,0.045728131898454746,0.6094832945855044,0.4951437224203842,0.2950817191587509,1.2205029130172604,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,PatchTST,96,48384,0.05148059251510204,0.12528655586667625,0.08159374731190107,0.003882489355231144,0.22560742047477048,1.4889588233989857,0.13197655144854623,2.0251309369459998,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,TimeMixer,96,48384,0.054557275845661356,0.14916680186577622,0.07803923779603751,0.054356776778919334,0.45397707341522703,0.78970855927377,0.21618438177848678,1.5316235698221075,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,iTransformer,96,48384,0.04250781967698211,0.1337949472828127,0.07511341823556039,0.007989654195011337,0.3176268698107548,1.1468779190255802,0.19835905325741054,1.6176764398092849,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,Chronos-2,96,50688,0.05049824119805472,0.20496305326620737,0.11608162666189259,0.032735422653256706,0.2863746902744802,1.250454184828038,0.33357042825497996,1.0979012267676136,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,TimesFM,96,50688,0.05613011964199203,0.21304681027928987,0.18647070394621956,0.013024852109053499,0.1501364810597784,1.8962104582321535,0.12720305394240664,2.0619705407686806,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,DLinear,96,50688,0.03285886045904793,0.15925595389854721,0.07127522531396763,0.051566700268817205,1.0026478140551696,0.002644324744733778,0.5286857593984191,0.637361032315541,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,PatchTST,96,50688,0.021871232993348075,0.120494775325709,0.0610226449458828,0.033158225574712645,0.338127152479301,1.0843332338992886,0.2175816666835464,1.5251809739634348,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,TimeMixer,96,50688,0.011414634417879358,0.08478408325422714,0.03710747686045527,0.013646255304783951,0.685613615254202,0.37744103842141824,0.4144365773593826,0.8808353019742927,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,iTransformer,96,50688,0.025335043618624875,0.12052932750610594,0.05301553775230547,0.07105420207419591,0.43723524127404867,0.8272838963005759,0.28509703665966585,1.2549256420801052,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,Chronos-2,96,52896,0.2336540118004621,0.42774581660827,0.42774581660827,0.0,0.04654463647027299,3.0673432878819322,0.05581104511708526,2.88578330884025,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,TimesFM,96,52896,0.19430081421072506,0.3947097510099411,0.3947097510099411,0.0,0.03963132636417935,3.2281351513243792,0.03463592522571679,3.3628635455416274,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,DLinear,96,52896,0.3015642493198007,0.5057504722575116,0.5057504722575115,0.0,0.8849315498530045,0.12224497046402667,0.5040073730952195,0.6851643620196125,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
ETTm1,PatchTST,96,52896,0.23865639254047433,0.4311482997507898,0.3750021773927067,0.0026692708333333334,0.3249947766604726,1.1239461378257583,0.20060055827503231,1.6064395705817824,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,main,336
