dataset,horizon_len,metric,model,best_window_count,mean_best_value,n_windows,best_window_fraction
ETTm1,720,dtw_scaled,PatchTST_L720,3,0.049704852323269044,5,0.6
ETTm1,720,dtw_scaled,DLinear_L336,2,0.06414706370512481,5,0.4
ETTm1,720,high_frequency_energy_ratio_error,PatchTST_L336,2,0.2886570286549123,5,0.4
ETTm1,720,high_frequency_energy_ratio_error,DLinear_L336,1,0.7899394793313531,5,0.2
ETTm1,720,high_frequency_energy_ratio_error,PatchTST_L720,1,0.568959082534298,5,0.2
ETTm1,720,high_frequency_energy_ratio_error,iTransformer_L720,1,0.4578746049085173,5,0.2
ETTm1,720,mae_scaled,DLinear_L336,1,0.13165211971800536,5,0.2
ETTm1,720,mae_scaled,DLinear_L720,1,0.12354862544471913,5,0.2
ETTm1,720,mae_scaled,PatchTST_L336,1,0.1370231631816896,5,0.2
ETTm1,720,mae_scaled,iTransformer_L336,1,0.17582574497041353,5,0.2
ETTm1,720,mae_scaled,iTransformer_L720,1,0.14133570808981946,5,0.2
ETTm1,720,mse_scaled,DLinear_L336,1,0.027205555875973723,5,0.2
ETTm1,720,mse_scaled,DLinear_L720,1,0.024697241825971616,5,0.2
ETTm1,720,mse_scaled,PatchTST_L336,1,0.02815639973985827,5,0.2
ETTm1,720,mse_scaled,iTransformer_L336,1,0.04132170544467913,5,0.2
ETTm1,720,mse_scaled,iTransformer_L720,1,0.027962996119677747,5,0.2
ETTm1,720,tdi_scaled,PatchTST_L336,2,0.004770693735657331,5,0.4
ETTm1,720,tdi_scaled,iTransformer_L336,2,0.008342926449724711,5,0.4
ETTm1,720,tdi_scaled,iTransformer_L720,1,0.012695316552546946,5,0.2
ETTm1,720,total_variation_ratio_error,DLinear_L720,2,0.10678058948241884,5,0.4
ETTm1,720,total_variation_ratio_error,PatchTST_L720,2,0.1780056269325781,5,0.4
ETTm1,720,total_variation_ratio_error,DLinear_L336,1,0.14903170169851604,5,0.2
Weather,720,dtw_scaled,DLinear_L336,2,0.007551561632315493,5,0.4
Weather,720,dtw_scaled,PatchTST_L336,2,0.018900783045084826,5,0.4
Weather,720,dtw_scaled,DLinear_L720,1,0.004798505561526632,5,0.2
Weather,720,high_frequency_energy_ratio_error,DLinear_L336,2,1.0688554579848881,5,0.4
Weather,720,high_frequency_energy_ratio_error,DLinear_L720,1,0.014604629486209915,5,0.2
Weather,720,high_frequency_energy_ratio_error,PatchTST_L336,1,0.8625943978409583,5,0.2
Weather,720,high_frequency_energy_ratio_error,PatchTST_L720,1,0.32842376596109996,5,0.2
Weather,720,mae_scaled,iTransformer_L336,2,0.03387420523194609,5,0.4
Weather,720,mae_scaled,DLinear_L336,1,0.017555206836690873,5,0.2
Weather,720,mae_scaled,PatchTST_L720,1,0.012789775074182773,5,0.2
Weather,720,mae_scaled,iTransformer_L720,1,0.023646190122480554,5,0.2
Weather,720,mse_scaled,iTransformer_L336,2,0.0018769475195269231,5,0.4
Weather,720,mse_scaled,DLinear_L336,1,0.0004075228860039243,5,0.2
Weather,720,mse_scaled,PatchTST_L720,1,0.0002553406924975507,5,0.2
Weather,720,mse_scaled,iTransformer_L720,1,0.001031343967479405,5,0.2
Weather,720,tdi_scaled,iTransformer_L720,3,0.0005911684383043718,5,0.6
Weather,720,tdi_scaled,DLinear_L336,1,0.0013720957274056867,5,0.2
Weather,720,tdi_scaled,iTransformer_L336,1,7.25138791831664e-05,5,0.2
Weather,720,total_variation_ratio_error,DLinear_L720,2,0.057390744978206884,5,0.4
Weather,720,total_variation_ratio_error,PatchTST_L720,2,0.13931399151128065,5,0.4
Weather,720,total_variation_ratio_error,iTransformer_L720,1,0.05645590493656856,5,0.2
