dataset,model,horizon_len,origin,mse_scaled,mae_scaled,dtw_scaled,tdi_scaled,total_variation_ratio,total_variation_ratio_error,high_frequency_energy_ratio,high_frequency_energy_ratio_error,target_col,input_mode,protocol,fig_path,experiment,lookback_seq_len
ETTm1,DLinear_L336,720,46080,0.027205555875973723,0.13165211971800536,0.05356642808931183,0.005825982869696479,1.2332107843976055,0.20962117015211182,0.5227558880378086,0.6486406580248317,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
ETTm1,PatchTST_L336,720,46080,0.03438949865281763,0.15349028947455884,0.07073614893270053,0.07705159148089637,0.6096773514402161,0.49482537741179217,0.49747327928086027,0.6982134137125613,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
ETTm1,iTransformer_L336,720,46080,0.029924392172477627,0.14180829640573123,0.060965804697289974,0.0006072795112464062,0.31817881697212924,1.1451417052919284,0.44647628150109403,0.8063689786171435,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
ETTm1,DLinear_L720,720,46080,0.03967586098079052,0.15776092801576247,0.05687466186949294,0.0394496380596641,1.1731458437291142,0.15968890442151623,0.5294087558774079,0.6359944311898248,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
ETTm1,PatchTST_L720,720,46080,0.03579191025536185,0.15282621218853354,0.06117837267399921,0.04338204049217694,0.7863047633321141,0.24041080937850412,0.5661144004883093,0.568959082534298,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
ETTm1,iTransformer_L720,720,46080,0.04108788917926037,0.16052576514235703,0.07969653492545757,0.03086545237307886,0.4165518691367909,0.8757442653799625,0.16975265490307556,1.773412813679369,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
ETTm1,DLinear_L336,720,48960,0.04711354098711364,0.18083175001273366,0.08002987787700318,0.045205610021786496,0.8615417921275599,0.14903170169851604,0.37564821056670683,0.979102157122931,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
ETTm1,PatchTST_L336,720,48960,0.04462208882998182,0.17585617006738816,0.0837813068888742,0.03554230768210937,0.44094752821834154,0.8188293715678484,0.39644141243211123,0.9252269854364672,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
ETTm1,iTransformer_L336,720,48960,0.0313751850510763,0.1494397030297464,0.08777298505828457,0.01422276512228769,0.40847795263086384,0.8953173131853428,0.41321533686981593,0.8837864009215034,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,336
ETTm1,DLinear_L720,720,48960,0.03476634817175076,0.1580097932189107,0.06451038774667457,0.09711549718776691,1.3195620220884585,0.2772998876701342,0.5983746294166777,0.5135382338739024,OT,univariate target-only,fastdtw_rolling_origin_scaled_variation_diagnostics,,lookback_sensitivity,720
